ProductID,ProductName,Brand,Category,Subcategory,ListPrice,UnitCost
P00072,KidzCraft Cookware 23,KidzCraft,Home & Kitchen,Cookware,44.74,20.52
P00073,KidzCraft Fitness 24,KidzCraft,Sports,Fitness,41.27,15.89
P00074,NovaHome Appliances 25,NovaHome,Home & Kitchen,Appliances,34.89,15.03
P00075,NorthPeak Decor 26,NorthPeak,Home & Kitchen,Decor,81.08,38.18
P00076,Aster Storage 27,Aster,Home & Kitchen,Storage,46.39,22.34
P00077,VitaFuel Computers 28,VitaFuel,Electronics,Computers,33.95,18.24
P00078,KidzCraft Fitness 29,KidzCraft,Sports,Fitness,26.84,13.19
P00079,Aster Dolls 30,Aster,Toys,Dolls,28.89,16.36
P00080,GlowLab Dolls 31,GlowLab,Toys,Dolls,42.24,19.67
P00081,KidzCraft Non-Fiction 32,KidzCraft,Books,Non-Fiction,47.9,18.91
P00082,UrbanThread Fiction 33,UrbanThread,Books,Fiction,23.58,12.09
P00083,UrbanThread Smart Home 34,UrbanThread,Electronics,Smart Home,24.65,10.62
P00084,NovaHome Business 35,NovaHome,Books,Business,32.49,13.92
P00085,NorthPeak Headphones 36,NorthPeak,Electronics,Headphones,17.37,7.65
P00086,NorthPeak Makeup 37,NorthPeak,Beauty,Makeup,59.11,26.17
P00087,KidzCraft Computers 38,KidzCraft,Electronics,Computers,22.66,10.13
P00088,Aster Storage 39,Aster,Home & Kitchen,Storage,35.85,21.01
P00089,GlowLab Cycling 40,GlowLab,Sports,Cycling,50.13,30.74
P00090,UrbanThread Cycling 41,UrbanThread,Sports,Cycling,16.86,7.84
P00091,UrbanThread Fragrance 42,UrbanThread,Beauty,Fragrance,20.78,9.39
P00092,ByteWorks Outdoor 43,ByteWorks,Sports,Outdoor,29.69,19.29
P00093,ByteWorks Outdoor 44,ByteWorks,Sports,Outdoor,42.0,23.67
P00094,NorthPeak Supplements 45,NorthPeak,Grocery,Supplements,35.15,22.46
P00095,NovaHome Snacks 46,NovaHome,Grocery,Snacks,35.54,17.07
P00096,ByteWorks Fragrance 47,ByteWorks,Beauty,Fragrance,65.46,27.18
P00097,NovaHome Business 48,NovaHome,Books,Business,26.41,12.16
P00098,ByteWorks Dolls 49,ByteWorks,Toys,Dolls,26.39,9.38
P00099,NorthPeak Outdoor 50,NorthPeak,Sports,Outdoor,44.05,25.35
P00100,NovaHome Smart Home 1,NovaHome,Electronics,Smart Home,37.42,22.14
P00101,UrbanThread Business 2,UrbanThread,Books,Business,47.58,30.27
P00102,UrbanThread Storage 3,UrbanThread,Home & Kitchen,Storage,51.99,29.41
P00103,Aster Haircare 4,Aster,Beauty,Haircare,16.83,7.02
P00104,UrbanThread Kids 5,UrbanThread,Books,Kids,5.63,3.5
P00105,Aster Non-Fiction 6,Aster,Books,Non-Fiction,47.13,22.71
P00106,KidzCraft Men 7,KidzCraft,Clothing,Men,35.77,15.93
P00107,GlowLab Kids 8,GlowLab,Books,Kids,45.45,18.0
P00108,NovaHome Fiction 9,NovaHome,Books,Fiction,21.19,7.8
P00109,VitaFuel STEM 10,VitaFuel,Toys,STEM,47.91,22.77
P00110,Aster Non-Fiction 11,Aster,Books,Non-Fiction,29.14,15.6
P00111,NovaHome Beverages 12,NovaHome,Grocery,Beverages,47.54,26.28
P00112,KidzCraft Kids 13,KidzCraft,Books,Kids,47.52,27.66
P00113,VitaFuel Storage 14,VitaFuel,Home & Kitchen,Storage,42.49,17.94
P00114,NorthPeak Fitness 15,NorthPeak,Sports,Fitness,35.32,16.15
P00115,UrbanThread Business 16,UrbanThread,Books,Business,23.35,13.32
P00116,KidzCraft Outdoor Play 17,KidzCraft,Toys,Outdoor Play,74.58,48.21
P00117,VitaFuel Outdoor 18,VitaFuel,Sports,Outdoor,10.7,4.99
P00118,VitaFuel Snacks 19,VitaFuel,Grocery,Snacks,51.41,28.24
P00119,ByteWorks Haircare 20,ByteWorks,Beauty,Haircare,10.18,5.04
P00120,KidzCraft Cycling 21,KidzCraft,Sports,Cycling,19.3,9.61
P00121,ByteWorks Accessories 22,ByteWorks,Electronics,Accessories,61.68,25.5
P00122,GlowLab Skincare 23,GlowLab,Beauty,Skincare,21.66,8.74
P00123,GlowLab STEM 24,GlowLab,Toys,STEM,60.72,24.16
P00124,NorthPeak Kids 25,NorthPeak,Books,Kids,29.37,14.88
P00125,NorthPeak Fiction 26,NorthPeak,Books,Fiction,46.61,26.09
P00126,KidzCraft Headphones 27,KidzCraft,Electronics,Headphones,10.16,6.24
P00127,UrbanThread Decor 28,UrbanThread,Home & Kitchen,Decor,14.2,6.18
P00128,VitaFuel Kids 29,VitaFuel,Books,Kids,62.86,27.18
P00129,ByteWorks STEM 30,ByteWorks,Toys,STEM,46.58,18.52
P00130,KidzCraft Men 31,KidzCraft,Clothing,Men,18.43,8.9
P00131,GlowLab Cycling 32,GlowLab,Sports,Cycling,27.98,15.19
P00132,GlowLab Team Sports 33,GlowLab,Sports,Team Sports,5.62,3.14
P00133,NorthPeak Appliances 34,NorthPeak,Home & Kitchen,Appliances,33.01,12.38
P00134,UrbanThread Fiction 35,UrbanThread,Books,Fiction,11.92,5.49
P00135,KidzCraft Storage 36,KidzCraft,Home & Kitchen,Storage,20.43,7.02
P00136,NovaHome Makeup 37,NovaHome,Beauty,Makeup,68.48,25.5
P00137,NorthPeak Computers 38,NorthPeak,Electronics,Computers,24.64,10.85
P00138,Aster Snacks 39,Aster,Grocery,Snacks,23.32,11.38
P00139,NorthPeak Snacks 40,NorthPeak,Grocery,Snacks,16.39,8.9
P00140,UrbanThread Supplements 41,UrbanThread,Grocery,Supplements,47.19,25.36
P00141,VitaFuel Beverages 42,VitaFuel,Grocery,Beverages,50.52,17.24
P00142,NovaHome Appliances 43,NovaHome,Home & Kitchen,Appliances,23.17,9.42
P00143,UrbanThread Outdoor 44,UrbanThread,Sports,Outdoor,5.65,2.53
P00144,ByteWorks Haircare 45,ByteWorks,Beauty,Haircare,34.06,13.28
P00145,Aster STEM 46,Aster,Toys,STEM,34.92,14.22
P00146,Aster Skincare 47,Aster,Beauty,Skincare,5.57,3.04
P00147,Aster Puzzles 48,Aster,Toys,Puzzles,49.55,32.64
P00148,VitaFuel Outdoor 49,VitaFuel,Sports,Outdoor,17.69,9.15
P00149,Aster Men 50,Aster,Clothing,Men,39.96,14.52
P00150,KidzCraft Outdoor Play 1,KidzCraft,Toys,Outdoor Play,22.15,8.85
P00151,KidzCraft Appliances 2,KidzCraft,Home & Kitchen,Appliances,20.86,12.21
P00152,VitaFuel Dolls 3,VitaFuel,Toys,Dolls,49.48,26.49
P00153,Aster Skincare 4,Aster,Beauty,Skincare,36.3,19.57
P00154,NovaHome Supplements 5,NovaHome,Grocery,Supplements,7.82,4.17
P00155,NovaHome Decor 6,NovaHome,Home & Kitchen,Decor,44.03,21.45
P00156,Aster Fitness 7,Aster,Sports,Fitness,47.89,27.84
P00157,GlowLab Smart Home 8,GlowLab,Electronics,Smart Home,29.73,12.83
P00158,GlowLab Beverages 9,GlowLab,Grocery,Beverages,54.89,30.61
P00159,NorthPeak Snacks 10,NorthPeak,Grocery,Snacks,19.98,8.45
P00160,Aster Fragrance 11,Aster,Beauty,Fragrance,57.88,23.84
P00161,KidzCraft Beverages 12,KidzCraft,Grocery,Beverages,43.31,15.12
P00162,NovaHome Storage 13,NovaHome,Home & Kitchen,Storage,40.89,22.06
P00163,NorthPeak Women 14,NorthPeak,Clothing,Women,55.58,26.38
P00164,Aster Skincare 15,Aster,Beauty,Skincare,49.8,26.13
P00165,NovaHome Non-Fiction 16,NovaHome,Books,Non-Fiction,27.14,16.32
P00166,NorthPeak Puzzles 17,NorthPeak,Toys,Puzzles,49.0,17.33
P00167,GlowLab Dolls 18,GlowLab,Toys,Dolls,24.18,10.81
P00168,UrbanThread Accessories 19,UrbanThread,Electronics,Accessories,43.16,21.05
P00169,GlowLab Dolls 20,GlowLab,Toys,Dolls,51.94,32.77
P00170,Aster STEM 21,Aster,Toys,STEM,58.76,30.5
P00171,VitaFuel Smart Home 22,VitaFuel,Electronics,Smart Home,22.38,9.96
P00172,GlowLab Makeup 23,GlowLab,Beauty,Makeup,27.71,14.74
P00173,NovaHome Men 24,NovaHome,Clothing,Men,48.24,24.65
P00174,UrbanThread Decor 25,UrbanThread,Home & Kitchen,Decor,43.58,23.73
P00175,Aster Non-Fiction 26,Aster,Books,Non-Fiction,20.26,11.83
P00176,Aster Outdoor 27,Aster,Sports,Outdoor,38.93,21.05
P00177,NorthPeak Haircare 28,NorthPeak,Beauty,Haircare,46.52,21.94
P00178,NovaHome Skincare 29,NovaHome,Beauty,Skincare,62.4,27.75
P00179,VitaFuel Smart Home 30,VitaFuel,Electronics,Smart Home,39.45,16.77
P00180,KidzCraft Computers 31,KidzCraft,Electronics,Computers,30.2,19.63
P00181,VitaFuel Non-Fiction 32,VitaFuel,Books,Non-Fiction,14.69,7.73
P00182,NorthPeak Dolls 33,NorthPeak,Toys,Dolls,10.65,4.84
P00183,UrbanThread Headphones 34,UrbanThread,Electronics,Headphones,48.08,28.04
P00184,NovaHome Kids 35,NovaHome,Books,Kids,39.82,17.7
P00185,NorthPeak Kids 36,NorthPeak,Books,Kids,26.92,12.66
P00186,UrbanThread Accessories 37,UrbanThread,Electronics,Accessories,49.54,28.91
P00187,NovaHome Men 38,NovaHome,Clothing,Men,41.46,17.14
P00188,UrbanThread STEM 39,UrbanThread,Toys,STEM,31.92,14.97
P00189,NovaHome Beverages 40,NovaHome,Grocery,Beverages,53.54,21.92
P00190,ByteWorks Cookware 41,ByteWorks,Home & Kitchen,Cookware,26.89,12.27
P00191,KidzCraft Kids 42,KidzCraft,Books,Kids,51.6,24.33
P00192,Aster Team Sports 43,Aster,Sports,Team Sports,40.02,19.17
P00193,UrbanThread Business 44,UrbanThread,Books,Business,29.97,15.03
P00194,VitaFuel Business 45,VitaFuel,Books,Business,25.48,16.48
P00195,NorthPeak Beverages 46,NorthPeak,Grocery,Beverages,22.21,12.55
P00196,NovaHome Beverages 47,NovaHome,Grocery,Beverages,55.83,21.9
P00197,VitaFuel Fitness 48,VitaFuel,Sports,Fitness,31.42,14.98
P00198,NovaHome Accessories 49,NovaHome,Electronics,Accessories,15.31,9.67
P00199,KidzCraft STEM 50,KidzCraft,Toys,STEM,51.74,26.57
P00200,GlowLab Computers 1,GlowLab,Electronics,Computers,41.78,20.06
P00201,Aster Non-Fiction 2,Aster,Books,Non-Fiction,33.08,15.77
P00202,UrbanThread Team Sports 3,UrbanThread,Sports,Team Sports,39.01,22.84
P00203,ByteWorks Outdoor Play 4,ByteWorks,Toys,Outdoor Play,30.01,14.38
P00204,GlowLab Accessories 5,GlowLab,Clothing,Accessories,23.86,10.07
P00205,Aster Women 6,Aster,Clothing,Women,47.99,29.25
P00206,VitaFuel Appliances 7,VitaFuel,Home & Kitchen,Appliances,14.7,6.43
P00207,Aster Fragrance 8,Aster,Beauty,Fragrance,8.46,3.86
P00208,KidzCraft Team Sports 9,KidzCraft,Sports,Team Sports,11.38,5.55
P00209,NorthPeak Fitness 10,NorthPeak,Sports,Fitness,55.13,27.63
P00210,NovaHome Storage 11,NovaHome,Home & Kitchen,Storage,16.97,6.75
P00211,NorthPeak Cookware 12,NorthPeak,Home & Kitchen,Cookware,26.59,16.17
P00212,UrbanThread Non-Fiction 13,UrbanThread,Books,Non-Fiction,24.52,12.32
P00213,UrbanThread Decor 14,UrbanThread,Home & Kitchen,Decor,15.37,7.61
P00214,VitaFuel Outdoor 15,VitaFuel,Sports,Outdoor,31.56,16.17
P00215,NovaHome Non-Fiction 16,NovaHome,Books,Non-Fiction,35.03,15.15
P00216,GlowLab Haircare 17,GlowLab,Beauty,Haircare,74.43,32.5
P00217,UrbanThread Makeup 18,UrbanThread,Beauty,Makeup,26.95,14.44
P00218,KidzCraft Makeup 19,KidzCraft,Beauty,Makeup,39.93,15.8
P00219,GlowLab Men 20,GlowLab,Clothing,Men,66.89,29.48
P00220,Aster Fiction 21,Aster,Books,Fiction,68.03,34.57
P00221,KidzCraft Business 22,KidzCraft,Books,Business,44.33,20.66
P00222,Aster Fitness 23,Aster,Sports,Fitness,55.81,28.01
P00223,Aster Fitness 24,Aster,Sports,Fitness,34.23,19.29
P00224,GlowLab Accessories 25,GlowLab,Electronics,Accessories,45.9,27.11
P00225,KidzCraft Skincare 26,KidzCraft,Beauty,Skincare,40.52,16.82
P00226,Aster Kids 27,Aster,Books,Kids,22.62,11.75
P00227,KidzCraft Non-Fiction 28,KidzCraft,Books,Non-Fiction,65.84,36.07
P00228,ByteWorks Haircare 29,ByteWorks,Beauty,Haircare,37.72,20.63
P00229,KidzCraft Smart Home 30,KidzCraft,Electronics,Smart Home,50.92,25.23
P00230,ByteWorks Cookware 31,ByteWorks,Home & Kitchen,Cookware,29.57,13.26
P00231,UrbanThread Puzzles 32,UrbanThread,Toys,Puzzles,15.16,7.3
P00232,UrbanThread Cookware 33,UrbanThread,Home & Kitchen,Cookware,5.85,3.48
P00233,NorthPeak Fitness 34,NorthPeak,Sports,Fitness,5.37,2.74
P00234,UrbanThread Supplements 35,UrbanThread,Grocery,Supplements,43.89,23.26
P00235,ByteWorks Kids 36,ByteWorks,Clothing,Kids,5.53,3.1
P00236,UrbanThread Women 37,UrbanThread,Clothing,Women,22.89,13.87
P00237,KidzCraft Appliances 38,KidzCraft,Home & Kitchen,Appliances,38.09,15.42
P00238,NorthPeak Skincare 39,NorthPeak,Beauty,Skincare,8.86,4.68
P00239,GlowLab Snacks 40,GlowLab,Grocery,Snacks,25.37,10.24
P00240,GlowLab Fitness 41,GlowLab,Sports,Fitness,39.99,20.27
P00241,UrbanThread Computers 42,UrbanThread,Electronics,Computers,30.71,17.64
P00242,VitaFuel Supplements 43,VitaFuel,Grocery,Supplements,43.51,23.54
P00243,KidzCraft Puzzles 44,KidzCraft,Toys,Puzzles,5.43,3.44
P00244,Aster Men 45,Aster,Clothing,Men,49.0,17.51
P00245,GlowLab Kids 46,GlowLab,Clothing,Kids,45.35,23.77
P00246,ByteWorks Women 47,ByteWorks,Clothing,Women,10.1,4.55
P00247,ByteWorks Skincare 48,ByteWorks,Beauty,Skincare,53.13,18.69
P00248,GlowLab Outdoor 49,GlowLab,Sports,Outdoor,26.19,10.77
P00249,VitaFuel Fragrance 50,VitaFuel,Beauty,Fragrance,27.99,17.48
P00250,VitaFuel Makeup 1,VitaFuel,Beauty,Makeup,43.47,26.41
P00251,ByteWorks Cycling 2,ByteWorks,Sports,Cycling,9.68,4.11
P00252,NorthPeak Cycling 3,NorthPeak,Sports,Cycling,55.82,27.54
P00253,VitaFuel Fiction 4,VitaFuel,Books,Fiction,21.06,13.09
P00254,GlowLab Accessories 5,GlowLab,Electronics,Accessories,54.68,19.85
P00255,NorthPeak Kids 6,NorthPeak,Books,Kids,32.24,16.28
P00256,ByteWorks Fiction 7,ByteWorks,Books,Fiction,43.2,23.09
P00257,UrbanThread Supplements 8,UrbanThread,Grocery,Supplements,22.8,8.24
P00258,GlowLab Kids 9,GlowLab,Clothing,Kids,36.0,16.3
P00259,KidzCraft Kids 10,KidzCraft,Clothing,Kids,12.81,5.83
P00260,KidzCraft Team Sports 11,KidzCraft,Sports,Team Sports,22.89,12.0
P00261,NovaHome Outdoor Play 12,NovaHome,Toys,Outdoor Play,9.1,5.71
P00262,ByteWorks Outdoor Play 13,ByteWorks,Toys,Outdoor Play,38.13,19.76
P00263,NorthPeak Beverages 14,NorthPeak,Grocery,Beverages,17.57,10.04
P00264,UrbanThread STEM 15,UrbanThread,Toys,STEM,82.52,41.05
P00265,Aster Business 16,Aster,Books,Business,19.6,9.52
P00266,NovaHome Cycling 17,NovaHome,Sports,Cycling,6.61,2.88
P00267,Aster Women 18,Aster,Clothing,Women,61.7,22.26
P00268,GlowLab Kids 19,GlowLab,Books,Kids,27.29,13.7
P00269,UrbanThread Cycling 20,UrbanThread,Sports,Cycling,40.78,24.15
P00270,KidzCraft Kids 21,KidzCraft,Clothing,Kids,40.65,17.74
P00271,NovaHome Skincare 22,NovaHome,Beauty,Skincare,21.41,11.44
P00272,NorthPeak Kids 23,NorthPeak,Clothing,Kids,26.04,11.37
P00273,NorthPeak Pantry 24,NorthPeak,Grocery,Pantry,17.37,8.13
P00274,NovaHome Team Sports 25,NovaHome,Sports,Team Sports,59.38,24.86
P00275,ByteWorks Cookware 26,ByteWorks,Home & Kitchen,Cookware,41.06,17.71
P00276,Aster Storage 27,Aster,Home & Kitchen,Storage,10.85,4.88
P00277,VitaFuel Storage 28,VitaFuel,Home & Kitchen,Storage,46.75,22.51
P00278,VitaFuel Fiction 29,VitaFuel,Books,Fiction,47.15,20.09
P00279,KidzCraft Outdoor Play 30,KidzCraft,Toys,Outdoor Play,6.43,3.35
P00280,ByteWorks Kids 31,ByteWorks,Clothing,Kids,20.72,10.4
P00281,KidzCraft Pantry 32,KidzCraft,Grocery,Pantry,40.25,20.2
P00282,NovaHome Pantry 33,NovaHome,Grocery,Pantry,44.93,17.86
P00283,GlowLab Accessories 34,GlowLab,Clothing,Accessories,69.13,34.39
P00284,UrbanThread Makeup 35,UrbanThread,Beauty,Makeup,31.81,14.63
P00285,UrbanThread STEM 36,UrbanThread,Toys,STEM,54.81,24.06
P00286,VitaFuel Women 37,VitaFuel,Clothing,Women,23.02,12.18
P00287,NorthPeak Outdoor Play 38,NorthPeak,Toys,Outdoor Play,36.77,19.03
P00288,VitaFuel Non-Fiction 39,VitaFuel,Books,Non-Fiction,31.08,17.6
P00289,NorthPeak Supplements 40,NorthPeak,Grocery,Supplements,34.45,15.85
P00290,UrbanThread Cycling 41,UrbanThread,Sports,Cycling,39.38,17.54
P00291,KidzCraft Non-Fiction 42,KidzCraft,Books,Non-Fiction,40.41,17.8
P00292,GlowLab Kids 43,GlowLab,Books,Kids,6.02,2.68
P00293,NovaHome Business 44,NovaHome,Books,Business,51.15,18.18
P00294,UrbanThread Cycling 45,UrbanThread,Sports,Cycling,13.53,8.07
P00295,UrbanThread Accessories 46,UrbanThread,Electronics,Accessories,50.51,20.46
P00296,NovaHome Smart Home 47,NovaHome,Electronics,Smart Home,46.02,17.94
P00297,NorthPeak Fiction 48,NorthPeak,Books,Fiction,46.3,23.05
P00298,NorthPeak Accessories 49,NorthPeak,Electronics,Accessories,26.41,10.15
P00299,Aster Skincare 50,Aster,Beauty,Skincare,38.98,23.05
P00300,UrbanThread Outdoor 1,UrbanThread,Sports,Outdoor,52.04,25.18
P00301,GlowLab Haircare 2,GlowLab,Beauty,Haircare,26.07,10.65
P00302,ByteWorks Makeup 3,ByteWorks,Beauty,Makeup,9.47,3.53
P00303,NorthPeak Non-Fiction 4,NorthPeak,Books,Non-Fiction,74.11,25.85
P00304,GlowLab Headphones 5,GlowLab,Electronics,Headphones,31.52,16.05
P00305,UrbanThread Fiction 6,UrbanThread,Books,Fiction,28.69,11.83
P00306,NovaHome Appliances 7,NovaHome,Home & Kitchen,Appliances,15.54,7.68
P00307,KidzCraft Women 8,KidzCraft,Clothing,Women,14.14,5.84
P00308,Aster Business 9,Aster,Books,Business,5.37,3.16
P00309,KidzCraft Storage 10,KidzCraft,Home & Kitchen,Storage,17.39,7.23
P00310,GlowLab Appliances 11,GlowLab,Home & Kitchen,Appliances,15.04,8.18
P00311,ByteWorks Makeup 12,ByteWorks,Beauty,Makeup,21.81,10.08
P00312,NovaHome Appliances 13,NovaHome,Home & Kitchen,Appliances,78.15,28.25
P00313,Aster Cycling 14,Aster,Sports,Cycling,34.94,17.36
P00314,UrbanThread Women 15,UrbanThread,Clothing,Women,29.66,11.11
P00315,ByteWorks Fiction 16,ByteWorks,Books,Fiction,37.44,17.36
P00316,ByteWorks Headphones 17,ByteWorks,Electronics,Headphones,20.37,10.71
P00317,NovaHome Fragrance 18,NovaHome,Beauty,Fragrance,57.02,24.36
P00318,UrbanThread Haircare 19,UrbanThread,Beauty,Haircare,54.82,30.82
P00319,UrbanThread Dolls 20,UrbanThread,Toys,Dolls,20.91,11.28
P00320,NorthPeak Headphones 21,NorthPeak,Electronics,Headphones,52.97,24.72
